name,eco,fen,moves
Benoni Defense: Hawk Variation,A43,rnbqkb1r/pp1ppppp/5n2/3P4/2p5/5N2/PPP1PPPP/RNBQKB1R w KQkq,  d4 Nf6   Nf3 c5   d5 c4
Benoni Defense: Hromadka System,A57,rnbqkb1r/pp2pppp/3p1n2/2pP4/2P5/8/PP2PPPP/RNBQKBNR w KQkq,  d4 Nf6   c4 c5   d5 d6
Benoni Defense: Modern Variation,A60,rnbqkb1r/pp1p1ppp/4pn2/2pP4/2P5/8/PP2PPPP/RNBQKBNR w KQkq,  d4 Nf6   c4 c5   d5 e6
Benoni Defense: Old Benoni,A43,rnbqkbnr/pp2pppp/3p4/2pP4/8/8/PPP1PPPP/RNBQKBNR w KQkq,  d4 c5   d5 d6
"Benoni Defense: Old Benoni, Schmid Variation",A43,rnbqkbnr/pp2pp1p/3p2p1/2pP4/8/2N5/PPP1PPPP/R1BQKBNR w KQkq,  d4 c5   d5 d6   Nc3 g6
Benoni Defense: Snail Variation,A43,r1bqkbnr/pp1ppppp/n7/2pP4/8/8/PPP1PPPP/RNBQKBNR w KQkq,  d4 c5   d5 Na6
Benoni Defense: Zilbermints-Benoni Gambit,A43,rnbqkbnr/pp1ppppp/8/2p5/1P1P4/8/P1P1PPPP/RNBQKBNR b KQkq,  d4 c5   b4
Bird Opening,A02,rnbqkbnr/pppppppp/8/8/5P2/8/PPPPP1PP/RNBQKBNR b KQkq,  f4
Bird Opening: Batavo-Polish Attack,A02,rnbqkb1r/pppppp1p/5np1/8/1P3P2/5N2/P1PPP1PP/RNBQKB1R b KQkq,  f4 Nf6   Nf3 g6   b4
Bird Opening: Dutch Variation,A03,rnbqkbnr/ppp1pppp/8/3p4/5P2/8/PPPPP1PP/RNBQKBNR w KQkq,  f4 d5
"Bird Opening: Dutch Variation, Dudweiler Gambit",A02,rnbqkbnr/ppp1pppp/8/3p4/5PP1/8/PPPPP2P/RNBQKBNR b KQkq,  f4 d5   g4
Bird Opening: From's Gambit,A02,rnbqkbnr/pppp1ppp/8/4p3/5P2/8/PPPPP1PP/RNBQKBNR w KQkq,  f4 e5
"Bird Opening: From's Gambit, Bahr Gambit",A02,rnbqkbnr/pppp1ppp/8/4p3/5P2/2N5/PPPPP1PP/R1BQKBNR b KQkq,  f4 e5   Nc3
Bird Opening: Hobbs Gambit,A02,rnbqkbnr/pppppp1p/8/6p1/5P2/8/PPPPP1PP/RNBQKBNR w KQkq,  f4 g5
Bird Opening: Hobbs-Zilbermints Gambit,A02,rnbqkbnr/pppppp2/7p/6p1/5P2/5N2/PPPPP1PP/RNBQKB1R w KQkq,  f4 h6   Nf3 g5
Bird Opening: Horsefly Defense,A03,rnbqkb1r/pppppppp/7n/8/5P2/8/PPPPP1PP/RNBQKBNR w KQkq,  f4 Nh6
Bird Opening: Lasker Gambit,A02,rnbqkbnr/pppp2pp/5p2/4P3/8/8/PPPPP1PP/RNBQKBNR w KQkq,  f4 e5   fxe5 f6
Bird Opening: Lasker Variation,A03,rnbqkb1r/pp2pppp/5n2/2pp4/5P2/4PN2/PPPP2PP/RNBQKB1R w KQkq,  f4 d5   Nf3 Nf6   e3 c5
Bird Opening: Mujannah,A03,rnbqkb1r/pppppppp/5n2/8/2P2P2/8/PP1PP1PP/RNBQKBNR b KQkq,  f4 Nf6   c4
Bird Opening: Myers Defense,A02,rnbqkbnr/p1pppppp/8/1p6/5P2/8/PPPPP1PP/RNBQKBNR w KQkq,  f4 b5
Bird Opening: Platz Gambit,A02,rnbqkb1r/ppppnppp/8/4P3/8/8/PPPPP1PP/RNBQKBNR w KQkq,  f4 e5   fxe5 Ne7
Bird Opening: Schlechter Gambit,A02,r1bqkbnr/pppp1ppp/2n5/4P3/8/8/PPPPP1PP/RNBQKBNR w KQkq,  f4 e5   fxe5 Nc6
Bird Opening: Sturm Gambit,A02,rnbqkbnr/ppp1pppp/8/3p4/2P2P2/8/PP1PP1PP/RNBQKBNR b KQkq,  f4 d5   c4
Bird Opening: Wagner-Zwitersch Gambit,A02,rnbqkbnr/ppppp1pp/8/5p2/4PP2/8/PPPP2PP/RNBQKBNR b KQkq,  f4 f5   e4
Bird Opening: Williams Gambit,A03,rnbqkbnr/ppp1pppp/8/3p4/4PP2/8/PPPP2PP/RNBQKBNR b KQkq,  f4 d5   e4
Bishop's Opening,C23,rnbqkbnr/pppp1ppp/8/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq,  e4 e5   Bc4
Bishop's Opening: Berlin Defense,C24,rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq,  e4 e5   Bc4 Nf6
"Bishop's Opening: Berlin Defense, Greco Gambit",C23,rnbqkb1r/pppp1ppp/5n2/4p3/2B1PP2/8/PPPP2PP/RNBQK1NR b KQkq,  e4 e5   Bc4 Nf6   f4
Bishop's Opening: Boi Variation,C20,rnbqk1nr/pppp1ppp/8/2b1p3/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq,  e4 e5   Bc4 Bc5
Bishop's Opening: Calabrese Countergambit,C23,rnbqkbnr/pppp2pp/8/4pp2/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq,  e4 e5   Bc4 f5
"Bishop's Opening: Calabrese Countergambit, Jaenisch Variation",C23,rnbqkbnr/pppp2pp/8/4pp2/2B1P3/3P4/PPP2PPP/RNBQK1NR b KQkq,  e4 e5   Bc4 f5   d3
Bishop's Opening: Khan Gambit,C23,rnbqkbnr/ppp2ppp/8/3pp3/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq,  e4 e5   Bc4 d5
Bishop's Opening: Lewis Countergambit,C23,rnbqk1nr/ppp2ppp/8/2bpp3/2B1P3/2P5/PP1P1PPP/RNBQK1NR w KQkq,  e4 e5   Bc4 Bc5   c3 d5
Bishop's Opening: Lewis Gambit,C23,rnbqk1nr/pppp1ppp/8/2b1p3/2BPP3/8/PPP2PPP/RNBQK1NR b KQkq,  e4 e5   Bc4 Bc5   d4
